Item,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
TOTAL,3447048376,3602296175,3886927493,4341679942,4973872821,5266161796,5903287905,3985288638,3883667052,4435635510,5109658449,4653190718,5035156921,4507123635,4570723970
325--CHEMICALS,241099201,321097104,358802342,435867473,467539566,545759669,657981486,641309565,685519201,799153461,863785066,748221898,922412237,910916719,897932389
322--PAPER,739612736,915690600,1063043957,983805572,1170964098,1121011176,1003032256,697575722,784066904,782491439,737775290,787914447,786013931,774816628,830465033
333--MACHINERY; EXCEPT ELECTRICAL,361794438,367564869,454880612,607186710,691470360,717596342,717354167,497987770,479371972,559900950,678313987,639563182,674346922,697676089,693219582
324--PETROLEUM & COAL PRODUCTS,275193392,258672637,338379364,345884967,536605064,874652219,1357365068,601714253,258539527,511730730,985120363,762574187,732904700,372688077,571809742
334--COMPUTER AND ELECTRONIC PRODUCTS,843118441,841463156,630088158,768873365,617179047,658910184,665271906,534514001,571158627,509408011,528154465,511273264,521334739,443940547,469143028
331--PRIMARY METAL MFG,112972016,128753639,205037434,215425267,295669718,287577055,266212375,202305217,336377157,395352353,364923398,369661017,488270743,342029655,301204442
335--ELECTRICAL EQUIPMENT; APPLIANCES & COMPONENTS,58672146,71697192,63523701,104232682,88105327,120679710,136972821,140596910,151861259,191654867,205894346,204705084,225543897,252391695,188123389
339--MISCELLANEOUS MANUFACTURED COMMODITIES,32375158,64378558,49193494,48474716,47533919,56642758,63747555,61576900,64887598,98866148,59771666,136700842,148032894,120166640,118765905
332--FABRICATED METAL PRODUCTS; NESOI,142922065,138267612,219377776,85542539,95063811,91409628,100528902,88908944,77092249,93358110,121839187,102954357,120666428,109334714,101225627
336--TRANSPORTATION EQUIPMENT,326941953,153427829,133653609,341865332,588109489,380747867,528752345,198544534,171091708,156082127,218864734,67630461,64337716,81576082,78760550
980--GOODS RET TO CA (EXP); US GOODS RET & REIMPS (IMP),23799383,41238470,24767823,33932208,40141412,34219688,27326851,47671979,42685821,56981954,69253629,59987990,54990194,117103811,49651550
326--PLASTICS & RUBBER PRODUCTS,31713767,33184242,44247139,45871236,48180569,48662306,45959060,33027180,34160401,36009278,41808940,43469552,48964530,48962556,46121968
327--NONMETALLIC MINERAL PRODUCTS,39554391,43432689,43243564,49865809,49242300,50621033,47466453,34804447,37820802,47691790,46054411,51921686,56156840,46858702,45250571
990--SPECIAL CLASSIFICATION PROVISIONS; NESOI,31902204,33931604,37567020,62505959,45693042,59288833,67967141,45176708,36189307,32149732,27988540,28800924,40292654,41902131,43734144
311--FOOD MANUFACTURES,35109732,39958255,47277514,54017935,54734124,57410888,63032867,50925420,49011758,53027387,44101850,34919853,32389771,35348384,32348279
321--WOOD PRODUCTS,39369945,39949524,50963354,48847243,46901818,36787522,28972235,19325585,22598085,21070661,17024787,21461562,23738806,21689126,22624888
313--TEXTILES & FABRICS,13198654,18812972,28739591,26095849,31790047,51761210,37541043,25430654,27647390,27894461,19519052,20078175,18698497,22817110,21374780
312--BEVERAGES & TOBACCO PRODUCTS,25843213,23977528,23499661,28622087,24991504,26161975,21936739,22936012,21275571,20601640,21154904,18698020,18875415,20291148,18524605
